RT_Demand,DayOfWeek,HourOfDay
1133.89,2.0,1.0
1095.54,2.0,2.0
1077.87,2.0,3.0
1066.16,2.0,4.0
1079.42,2.0,5.0
1117.17,2.0,6.0
1179.42,2.0,7.0
1240.54,2.0,8.0
1303.78,2.0,9.0
1346.31,2.0,10.0
1364.9,2.0,11.0
1350.47,2.0,12.0
1361.85,2.0,13.0
1370.96,2.0,14.0
1373.46,2.0,15.0
1397.34,2.0,16.0
1500.84,2.0,17.0
1575.25,2.0,18.0
1548.58,2.0,19.0
1482.25,2.0,20.0
1404.66,2.0,21.0
1316.79,2.0,22.0
1228.18,2.0,23.0
1158.33,3.0,0.0
1117.23,3.0,1.0
1089.67,3.0,2.0
1084.58,3.0,3.0
1088.41,3.0,4.0
1138.86,3.0,5.0
1240.83,3.0,6.0
1401.33,3.0,7.0
1476.24,3.0,8.0
1493.9,3.0,9.0
1503.66,3.0,10.0
1519.74,3.0,11.0
1487.11,3.0,12.0
1482.87,3.0,13.0
1473.66,3.0,14.0
1448.03,3.0,15.0
1444.99,3.0,16.0
1526.28,3.0,17.0
1601.93,3.0,18.0
1588.88,3.0,19.0
1528.08,3.0,20.0
1454.68,3.0,21.0
1353.52,3.0,22.0
1252.88,3.0,23.0
1162.97,4.0,0.0
1101.51,4.0,1.0
1074.63,4.0,2.0
1065.78,4.0,3.0
1068.17,4.0,4.0
1105.16,4.0,5.0
1200.11,4.0,6.0
1344.81,4.0,7.0
1416.38,4.0,8.0
1438.91,4.0,9.0
1450.68,4.0,10.0
1452.49,4.0,11.0
1448.19,4.0,12.0
1439.17,4.0,13.0
1426.46,4.0,14.0
1410.43,4.0,15.0
1410.38,4.0,16.0
1474.13,4.0,17.0
1518.6,4.0,18.0
1498.87,4.0,19.0
1437.68,4.0,20.0
1375.42,4.0,21.0
1297.59,4.0,22.0
1222.83,4.0,23.0
1143.96,5.0,0.0
1083.42,5.0,1.0
1048.63,5.0,2.0
1035.86,5.0,3.0
1037.95,5.0,4.0
1054.05,5.0,5.0
1094.13,5.0,6.0
1155.32,5.0,7.0
1238.53,5.0,8.0
1322.85,5.0,9.0
1384.98,5.0,10.0
1418.45,5.0,11.0
1421.96,5.0,12.0
1408.74,5.0,13.0
1410.27,5.0,14.0
1398.75,5.0,15.0
1435.76,5.0,16.0
1509.12,5.0,17.0
1530.88,5.0,18.0
1487.67,5.0,19.0
1414.74,5.0,20.0
1354.75,5.0,21.0
1273.88,5.0,22.0
1219.21,5.0,23.0
1145.63,6.0,0.0
1084.9,6.0,1.0
1047.1,6.0,2.0
1035.93,6.0,3.0
1029.6,6.0,4.0
1052.38,6.0,5.0
1079.08,6.0,6.0
1143.83,6.0,7.0
1228.29,6.0,8.0
1322.61,6.0,9.0
1382.32,6.0,10.0
1412.95,6.0,11.0
1419.73,6.0,12.0
1429.22,6.0,13.0
1418.68,6.0,14.0
1421.31,6.0,15.0
1447.76,6.0,16.0
1541.15,6.0,17.0
1628.07,6.0,18.0
1592.08,6.0,19.0
1529.11,6.0,20.0
1456.45,6.0,21.0
1354.59,6.0,22.0
1264.88,6.0,23.0
1204.01,0.0,0.0
1157.54,0.0,1.0
1138.66,0.0,2.0
1138.22,0.0,3.0
1157.7,0.0,4.0
1212.28,0.0,5.0
1329.23,0.0,6.0
1500.11,0.0,7.0
1582.94,0.0,8.0
1589.92,0.0,9.0
1599.57,0.0,10.0
1599.43,0.0,11.0
1577.87,0.0,12.0
1569.22,0.0,13.0
1572.52,0.0,14.0
1566.03,0.0,15.0
1573.17,0.0,16.0
1644.06,0.0,17.0
1708.35,0.0,18.0
1677.43,0.0,19.0
1614.4,0.0,20.0
1531.44,0.0,21.0
1427.05,0.0,22.0
1328.28,0.0,23.0
1259.46,1.0,0.0
1208.81,1.0,1.0
1181.75,1.0,2.0
1173.18,1.0,3.0
1183.09,1.0,4.0
1232.12,1.0,5.0
1331.82,1.0,6.0
